id,username,password,email
1,slillie0,5QgDDJscWNjU,apascall0@businessinsider.com
2,rtockell1,JaDA5Z,icristofano1@google.com
3,mcockman2,FsHWXwifTg,dhatchman2@xing.com
4,fbelin3,H3mZeDP,elowre3@delicious.com
5,kvalance4,QEoZ0duoQJ6,mpostlewhite4@sun.com
6,ddugan5,sqCbVH4kiH,fhandslip5@mapy.cz
7,vsteuhlmeyer6,4ZhmbLgK,vbirkhead6@bizjournals.com
8,wgoundrill7,JxprtO7P,abiernacki7@mapy.cz
9,hdeny8,EV5j5KHhw,tswale8@apache.org
10,mdouble9,5CtmAm3JP,ltebbe9@squarespace.com
11,gcalluma,SHtTS2hQ,mmeasora@comsenz.com
12,giacobettob,e07pIHk,cstrutleyb@weather.com
13,xboughc,Zp4OM0X6QAC,sdigmanc@bloglines.com
14,desbyd,hhNxmLUNFpn,rgodingd@networkadvertising.org
15,hstrangwoode,SUGofDu,smarcieke@google.com
16,valsfordf,cENPHRQfD5,cantragf@artisteer.com
17,vfinnickg,eYCp0uZd9MIH,cdeddeng@amazon.co.uk
18,dbirtlesh,u8jcvKn,rgyngellh@quantcast.com
19,eloraini,PFzZOR5RnaX3,gblackalli@github.com
20,efishburnj,rfKStimz8r,jbathowej@java.com
21,jbuiek,9kXQWDzf2,gmakerk@salon.com
22,efassel,pH3gCJ,cmacguffiel@boston.com
23,eloyntonm,BBiXTar,dcourtinm@unesco.org
24,avarnhamn,fVRs9qb,hcaronn@technorati.com
25,eshoremano,qKOQXjVXA,gduchatelo@opera.com
26,tconersp,lpb7EDA,cduberryp@deliciousdays.com
27,syanyushkinq,PjvqsV,tchasenq@ifeng.com
28,pstrahanr,1dv4IGI,epalmbyr@amazonaws.com
29,acrutchleys,icZX3X0vy,ijobes@usda.gov
30,cchaslest,uNKLeQE8BGl5,gkaesmanst@slate.com
31,mshreveu,hvHpuKco,psquieru@opera.com
32,sflewettv,a6fibehsaycn,anashv@paginegialle.it
33,sgettenw,cEFOGvX,dlawfordw@naver.com
34,spatisex,oH0sqYEG3v,sburgoynex@barnesandnoble.com
35,tgarbutty,24RZRSMXZ3l,cmcclarencey@wikipedia.org
36,nskeatz,TECuwPedMN,tpaolozziz@cocolog-nifty.com
37,badrienne10,Uczm5hFnkvY,cseabrooke10@zdnet.com
38,salexsandrov11,w1kzTNR,scrabb11@arstechnica.com
39,crounsivall12,uqMqXODeiu,mblindmann12@cbsnews.com
40,tjeffray13,krbnyldvNY,pandreas13@businessinsider.com
41,ucarluccio14,Lu2SEteyTz,cloidl14@wordpress.org
42,cewles15,pbLb46,kdufray15@uol.com.br
43,cmartinetto16,oayzVhj,mgane16@smh.com.au
44,gizatson17,cHEHoSwPhoLJ,lgooderson17@ow.ly
45,gebbles18,7bQhYXPq,efennessy18@yolasite.com
46,cmoyles19,GUo2n7i,etotaro19@networkadvertising.org
